"key","message","comment","context"
"1",,,
"1.5",,,
"About",,,
"Actions",,,
"Active for duty",,,
"Activities",,,
"Add selected lines",,,
"Add url",,,
"Additionally",,,
"Administration team",,,
"Administration team members",,,
"All Tasks",,,
"All open tasks",,,
"All projects",,,
"All tasks",,,
"Already duty",,,
"Analytic",,,
"Analytics team",,,
"Analytics team members",,,
"Announcement",,,
"Appraisal",,,
"Approve",,,
"Approved",,,
"Approver",,,
"Approver comment",,,
"Are you sure for approve?",,,
"Are you sure for denie?",,,
"Are you sure to change the duty?",,,
"Are you sure you want call this action?",,,
"Ask for off",,,
"Assigned To",,,
"Assigned by",,,
"Assigned to",,,
"Author",,,
"Auto first",,,
"Auto lunch user",,,
"Auto order",,,
"Auto order users",,,
"Auto second",,,
"Auto third",,,
"Awards",,,
"Backend team",,,
"Backend team members",,,
"Best team that spent the most hours",,,
"Book resource",,,
"Business",,,
"C# team",,,
"C# team members",,,
"Cancel",,,
"Career Forum",,,
"Change password",,,
"Characteristics",,,
"Chat AI",,,
"Code",,,
"Comment",,,
"Comments Count",,,
"Completed date",,,
"Complexity",,,
"Configurations",,,
"Consolidate sub project when invoicing",,,
"Contact",,,
"Contracts",,,
"Count of hours spent on the project",,,
"Count of people working on the project",,,
"Count of tasks in the project",,,
"Count views and posts",,,
"Create invoicing project",,,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create subtask btn",,,
"Create task (easy)",,,
"Created by",,,
"Created date",,,
"Created on",,,
"Current duty record",,,
"Current week",,,
"Custom fields",,,
"Customer Invoice lines",,,
"Customer contracts",,,
"Daily record",,,
"Daily records",,,
"Date end",,,
"Date of Birth",,,
"Date of birth",,,
"Date start",,,
"Dates",,,
"Deadline",,,
"Deadline date-time",,,
"Delete task btn",,,
"Denie",,,
"Denied",,,
"Description",,,
"Description of change",,,
"DevOps team",,,
"DevOps team members",,,
"Dish",,,
"Dish menu",,,
"Dish name",,,
"Dishes",,,
"Dishes name",,,
"Dislike",,,
"Dislikes",,,
"Downvote Count",,,
"Duty",,,
"Duty control",,,
"Duty control page",,,
"Duty update",,,
"Easy",,,
"Educational Forum",,,
"Employee hours",,,
"End date",,,
"End date is required",,,
"End date-time",,,
"Events",,,
"Expense lines",,,
"Expenses","Notes de frais",,
"Export excel",,,
"Export file",,,
"Fields to display",,,
"Finish",,,
"First dish",,,
"Follow-up",,,
"Force auto order",,,
"Forum",,,
"Forum Topics",,,
"Forum topic",,,
"From Date",,,
"Frontend team",,,
"Frontend team members",,,
"Full name",,,
"Gantt",,,
"Gantt with project",,,
"Gantt with user",,,
"General",,,
"General Forum",,,
"Generate purchase order btn",,,
"Generate quotation",,,
"Generate report by period",,,
"Generate report for current month",,,
"Generating report",,,
"Get data",,,
"Hard",,,
"Health & Fitness Forum",,,
"Hobby and Interest Forum",,,
"HoldBacks",,,
"HoldBacks lines",,,
"Holiday Date",,,
"Holiday Name",,,
"Hours Management",,,
"Hours management by (${userName}) from (${_parent.fromDate}) to (${_parent.toDate}) project (${projectName})",,,
"Hours management by user",,,
"How many tasks did the team complete in the project?",,,
"Import all members",,,
"Importance",,,
"Important",,,
"Important users",,,
"In office",,,
"Information",,,
"Invoices",,,
"Invoicing",,,
"Is Upvote",,,
"Last active date time",,,
"Last password update date",,,
"Leaders team",,,
"Leaders team members",,,
"Leave ask",,,
"Leave date",,,
"Leave request",,,
"Leave requests",,,
"Like",,,
"Likes",,,
"Likes and dislikes",,,
"Log Times",,,
"Login",,,
"Lunch",,,
"Lunch config",,,
"Lunch order",,,
"Lunch orders",,,
"Lunch user",,,
"Main page",,,
"Manage lines",,,
"Manager news",,,
"Medium",,,
"Members",,,
"Menu date",,,
"Menu list",,,
"Meta data",,,
"Mobile Phone",,,
"Music player",,,
"My Tasks",,,
"My open tasks",,,
"Name","Nom",,
"Name of award",,,
"New task",,,
"New ticket",,,
"News",,,
"News Forum",,,
"Niche Forum",,,
"Not started",,,
"Online radio",,,
"Open task btn",,,
"Other",,,
"Password",,,
"Password changed!",,,
"Per section calendar",,,
"Per section kanban",,,
"Per status calendar",,,
"Per status kanban",,,
"Per user calendar",,,
"Person info",,,
"Personal data",,,
"Petaboard",,,
"Plan hours",,,
"Planned Time Planning",,,
"Planning",,,
"Player",,,
"Portion",,,
"Post",,,
"Product/Service Forum",,,
"Production",,,
"Project","Projet",,
"Project Name",,,
"Project Task Tree",,,
"Project id",,,
"Project name",,,
"Projects",,,
"Projects Information",,,
"Public Holiday",,,
"Purchase order lines",,,
"Purchases",,,
"Python team",,,
"Python team members",,,
"Q&A Forum",,,
"Rating by person",,,
"Rating by project",,,
"Rating by team",,,
"Ratings by person!",,,
"Ratings by project!",,,
"Ratings by team!",,,
"Reason",,,
"Refresh",,,
"Report",,,
"Report download",,,
"Report of tasks",,,
"Reports",,,
"Request status",,,
"Requester",,,
"Reset",,,
"Resource booking",,,
"Responsible",,,
"Review Forum",,,
"Roadmap",,,
"Sale order lines",,,
"Sales",,,
"Save",,,
"Second dish",,,
"Select new lines",,,
"Select projects",,,
"Send request",,,
"Settings general",,,
"Settings lunch",,,
"Show expense lines",,,
"Show production orders",,,
"Show purchase order lines",,,
"Show sale order lines",,,
"Social Forum",,,
"Spent Hours",,,
"Spent time",,,
"Start date",,,
"Start date cannot is als end date!",,,
"Start date is required",,,
"Start date-time",,,
"Start/end dates is null! Please select!",,,
"Statistics of",,,
"Status",,,
"Subject of change",,,
"Supplier Invoice lines",,,
"Supplier contracts",,,
"Support Forum",,,
"Tag name",,,
"Tags",,,
"Task",,,
"Task Count",,,
"Task Invoicing",,,
"Task Tree",,,
"Task date",,,
"Task deadline",,,
"Task editor",,,
"Task end date",,,
"Task order",,,
"Tasks",,,
"Tasks Count",,,
"Tasks completed by each person in projects",,,
"Tasks created by me",,,
"Team",,,
"Team members distribution",,,
"Technical Forum",,,
"Text",,,
"The best employee who spent the most hours",,,
"The best person who completed more tasks",,,
"The best team that completed the most tasks",,,
"Third dish",,,
"TimesheetLine.timeSpent",,,
"Title",,,
"Title news",,,
"Title topic",,,
"To Date",,,
"To Invoice",,,
"To be invoiceable, each element (task, timesheet, expenses, etc.) has to be set with the checkbox ""To invoice"" as True. These boolean buttons below will set newly created element with ""To invoice"" as True.",,,
"To create new timespent lines, you need to do it via project task or via the HR ""Complete my Timesheet"" menu.",,,
"To-Do list",,,
"Tools",,,
"Topic",,,
"Total Members",,,
